day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id
0,0,41.915,-87.632,41.892,-87.629,286,78567
2,5,41.857,-87.652,41.967,-87.711,1,4262184
2,1,41.899,-87.684,41.9,-87.629,6,3923949
0,23,41.958,-87.66,41.949,-87.662,33,2312639
0,15,41.74,-87.556,41.701,-87.54,2,1101381
2,15,41.893,-87.626,41.786,-87.751,404,4604707
0,1,41.885,-87.621,41.885,-87.621,1036,180439
0,17,41.713,-87.666,41.714,-87.638,5,1339268
1,17,41.953,-87.646,41.943,-87.718,2,3285629
2,2,41.9,-87.665,41.893,-87.653,25,4016384
0,17,41.898,-87.621,41.892,-87.632,438,1401153
0,16,41.885,-87.621,41.892,-87.632,1256,1273723
0,2,41.892,-87.632,41.885,-87.643,1429,298509
0,5,41.777,-87.623,41.787,-87.622,1,571947
0,4,41.892,-87.632,41.891,-87.619,1090,509212
1,19,41.979,-87.903,41.881,-87.633,439,3438077
0,3,41.943,-87.657,41.941,-87.671,8,445128
0,15,41.95,-87.713,41.936,-87.666,6,1193878
2,6,42.006,-87.813,41.991,-87.74,21,4390669
0,6,41.79,-87.601,41.798,-87.59,535,635051
2,21,42.001,-87.684,41.936,-87.666,2,4977423
2,5,41.965,-87.677,41.929,-87.651,11,4317913
0,16,41.755,-87.61,41.879,-87.672,20,1229444
0,22,41.915,-87.646,41.893,-87.626,34,2119855
1,21,41.879,-87.643,41.907,-87.636,68,3553936
0,3,41.859,-87.617,41.898,-87.654,92,391523
0,3,41.885,-87.621,41.892,-87.632,1495,403976
0,12,41.844,-87.683,41.87,-87.675,95,803064
1,4,41.895,-87.62,41.77,-87.581,4,2724961
0,0,41.79,-87.59,41.79,-87.601,1093,20986
2,3,41.945,-87.691,41.921,-87.715,2,4135098
0,1,41.937,-87.722,41.929,-87.656,2,220075
2,17,41.9,-87.629,41.903,-87.626,1,4710413
0,5,41.905,-87.702,41.893,-87.626,4,598325
0,5,41.898,-87.654,41.928,-87.705,35,594473
1,23,41.928,-87.788,41.92,-87.771,4,3754900
0,22,41.881,-87.633,41.892,-87.632,5463,2090403
1,7,41.892,-87.632,41.9,-87.629,563,2912465
0,19,41.872,-87.706,41.893,-87.626,4,1640388
0,1,41.877,-87.622,41.879,-87.657,200,174580
2,1,41.893,-87.638,41.885,-87.621,502,3920702
1,0,41.893,-87.626,41.877,-87.622,327,2377384
0,0,41.899,-87.626,41.877,-87.752,4,65678
1,2,41.893,-87.626,41.908,-87.627,111,2556617
0,4,41.893,-87.626,41.967,-87.684,29,512169
2,16,41.905,-87.65,41.893,-87.653,16,4657172
0,13,41.885,-87.621,41.979,-87.903,5836,910957
0,0,41.881,-87.633,41.871,-87.622,1719,50937
1,21,41.909,-87.631,41.885,-87.657,76,3570054
0,4,41.891,-87.619,41.9,-87.629,148,507200
0,22,41.881,-87.633,41.893,-87.626,4967,2090409
1,2,41.973,-87.664,41.949,-87.652,36,2598990
0,22,41.842,-87.613,41.877,-87.622,19,2070834
2,8,41.856,-87.649,41.892,-87.632,9,4440412
0,12,41.95,-87.702,41.881,-87.633,191,839583
1,17,41.885,-87.643,41.953,-87.653,15,3256337
2,22,41.943,-87.641,41.859,-87.617,13,5024193
0,12,41.791,-87.623,41.898,-87.654,10,794739
1,16,41.929,-87.636,41.892,-87.632,36,3208609
0,10,41.943,-87.652,41.979,-87.903,493,734250
0,1,41.879,-87.643,41.935,-87.647,77,176623
0,18,41.879,-87.643,41.877,-87.622,764,1514098
2,5,41.898,-87.654,41.945,-87.686,1,4277313
0,1,41.885,-87.621,41.943,-87.657,103,180622
1,23,41.885,-87.657,41.885,-87.621,747,3730251
0,23,41.859,-87.617,41.859,-87.617,1902,2231586
