Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_of_week,Int Total
51ae28b8f00618d374c419f2fdc76de0216289a3,2025-01-23 09:45:00,2025-01-23 10:00:00,"1,406",6.5,17031836300.0,17031843200.0,$7.5,$2,$2.83,$12.33,41.802,-87.602,41.847,-87.664,9,3,12.33
424a7bb778ba83150d0358b68204d8f8d68f71f9,2025-07-20 19:15:00,2025-07-20 19:15:00,569,1.4,17031320400.0,17031081201.0,$5,$2,$5.61,$12.61,41.877,-87.622,41.899,-87.626,19,6,12.61
6cbbe9cd69f5d0c2b17eee546c17acff7f4cebf7,2025-10-22 20:15:00,2025-10-22 20:15:00,557,1.4,17031832500.0,17031842200.0,$7.5,$0,$2.73,$10.23,41.922,-87.664,41.905,-87.65,20,2,10.23
26609715e04789ae3ea67a13b6100235ba77082a,2025-06-27 11:00:00,2025-06-27 11:15:00,569,1.8,17031081700.0,17031833000.0,$7.5,$0,$6.42,$13.92,41.892,-87.632,41.885,-87.657,11,4,13.92
40616a90ffb2e3b8a8f5c2090e9c7a18f6488360,2025-07-17 22:00:00,2025-07-17 22:15:00,881,3.9,17031241400.0,17031210502.0,$12.5,$0,$1.23,$13.73,41.906,-87.675,41.934,-87.722,22,3,13.73
5ec257ec14321783f2682865b82bdba2f071610d,2025-07-26 16:00:00,2025-07-26 16:15:00,"1,073",4.1,17031243500.0,17031330100.0,$25,$0,$1.23,$26.23,41.893,-87.653,41.859,-87.617,16,5,26.23
9a175295400a4fe1b9636339ea40288fb9611c3b,2025-08-30 19:30:00,2025-08-30 19:45:00,965,3.4,17031190300.0,17031210700.0,$10,$0,$5.39,$15.39,41.935,-87.761,41.936,-87.704,19,5,15.39
1d30a79b59cc1387c16009eef119e1105d8a0452,2025-09-05 11:45:00,2025-09-05 12:15:00,"2,031",8.1,17031081201.0,17031410800.0,$25,$0,$2.73,$27.73,41.899,-87.626,41.798,-87.59,11,4,27.73
a01e9a9407cb5acf5a8ec714ce1484ee4d7c5ce3,2025-06-13 22:45:00,2025-06-13 23:15:00,"1,915",7.6,17031243500.0,17031190300.0,$45,$9,$1.23,$55.23,41.893,-87.653,41.935,-87.761,22,4,55.23
5ce784a7d74da132ec13ca01c14dc1eec6aa08d3,2025-11-27 16:15:00,2025-11-27 16:45:00,"1,701",9.7,17031243500.0,17031020100.0,$30,$4,$2.73,$36.73,41.893,-87.653,42.016,-87.687,16,3,36.73
b3c9e30d3b6fc44b8886dbab4405372cc8068418,2025-01-28 07:45:00,2025-01-28 07:45:00,433,1.9,17031080100.0,17031320100.0,$10,$0,$2.73,$12.73,41.908,-87.627,41.885,-87.621,7,1,12.73
dcf6788df49ca29cc020da938141e0a5d2840608,2025-08-23 00:30:00,2025-08-23 01:00:00,"1,830",18.5,17031980000.0,17031320100.0,$37.5,$0,$6.23,$43.73,41.979,-87.903,41.885,-87.621,0,5,43.73
291a5bcaea958a3be201cec5f7512f0f89ae4260,2025-05-26 19:15:00,2025-05-26 19:30:00,707,1.7,17031320100.0,17031280100.0,$7.5,$2,$2.73,$12.23,41.885,-87.621,41.885,-87.643,19,0,12.23
46659d9ca5a8aa557f5a38e2dee1624b2607d52f,2025-08-29 16:45:00,2025-08-29 17:00:00,"1,247",3.0,17031140200.0,17031210602.0,$10,$5,$7.18,$22.18,41.97,-87.713,41.934,-87.712,16,4,22.18
3a5b61bad74d930203d76a7c216a41edc9947dd1,2025-05-13 12:15:00,2025-05-13 12:15:00,469,1.8,17031390700.0,17031836200.0,$7.5,$0,$4.38,$11.88,41.806,-87.587,41.79,-87.601,12,1,11.88
3eca21b2f9fe9b704a2c70880aea6b489384984a,2025-03-13 20:00:00,2025-03-13 20:15:00,792,3.8,17031839100.0,17031242400.0,$15,$3,$8.03,$26.03,41.881,-87.633,41.899,-87.684,20,3,26.03
5c87eb36b42b813de1747eb5ea123c2ccbf56f90,2025-10-22 15:45:00,2025-10-22 15:45:00,295,1.4,17031431200.0,17031430700.0,$12.5,$0,$1.23,$13.73,41.755,-87.571,41.765,-87.564,15,2,13.73
d240376d1a428b91d6110743dbb5c461954cc24e,2025-10-08 23:30:00,2025-10-08 23:30:00,795,3.8,17031061000.0,17031030703.0,$10,$1,$6.48,$17.48,41.949,-87.652,41.979,-87.658,23,2,17.48
71f6097e219acf4558c98490483582d48e2a1229,2025-03-21 11:45:00,2025-03-21 12:00:00,644,3.2,17031071500.0,17031061901.0,$12.5,$3,$1.23,$16.73,41.915,-87.632,41.943,-87.643,11,4,16.73
8f01acc2c5126d50237b842ac99ade63f3ff6864,2025-05-01 19:45:00,2025-05-01 20:00:00,"1,139",6.9,17031281900.0,17031062000.0,$17.5,$0,$2.73,$20.23,41.879,-87.643,41.943,-87.647,19,3,20.23
2c38692ceab0b7ba93f50cc76cb991782576e095,2025-02-10 14:45:00,2025-02-10 15:30:00,"2,123",17.9,17031980000.0,17031839100.0,$30,$0,$41.67,$71.67,41.979,-87.903,41.881,-87.633,14,0,71.67
d7c8ed0071248e2fc0b9af51be73d8cc8c8e9068,2025-03-08 15:15:00,2025-03-08 15:30:00,499,4.6,17031980000.0,17031760801.0,$10,$0,$6.84,$16.84,41.979,-87.903,41.982,-87.842,15,5,16.84
09ef1d895f5e13e01e74bf9582eebf697767e5df,2025-04-12 12:45:00,2025-04-12 13:00:00,"1,174",6.8,17031410900.0,17031320400.0,$20,$6,$2.73,$28.73,41.797,-87.582,41.877,-87.622,12,5,28.73
1f3f3a3b2ba0a2c625f62624fe0460cfbf7757fe,2025-12-10 06:30:00,2025-12-10 07:00:00,"2,370",18.0,17031839100.0,17031980000.0,$50,$15,$7.73,$72.73,41.881,-87.633,41.979,-87.903,6,2,72.73
6f80d19933efdd3cc2a092e54be498a1f1719e20,2025-02-13 16:30:00,2025-02-13 16:45:00,859,3.0,17031160601.0,17031032100.0,$7.5,$1,$3.3,$11.8,41.96,-87.702,41.958,-87.653,16,3,11.8
12c4706adcc634ef4705ba25f4e4b993a9328991,2025-08-16 21:00:00,2025-08-16 21:00:00,379,0.8,17031081500.0,17031081700.0,$5,$0,$4.47,$9.47,41.893,-87.626,41.892,-87.632,21,5,9.47
7aed130d8787d6a23836f4f66e2329f2e879fca9,2025-07-12 13:00:00,2025-07-12 13:15:00,904,2.9,17031243200.0,17031320100.0,$20,$7,$9.33,$36.33,41.892,-87.67,41.885,-87.621,13,5,36.33
f2692e6b14eb26ec830963284ac9d2b80a27c216,2025-04-15 14:45:00,2025-04-15 15:00:00,"1,321",4.6,17031063100.0,17031833000.0,$10,$4,$5.86,$19.86,41.938,-87.647,41.885,-87.657,14,1,19.86
66d6d0ac48a903cdd08c6ea00ca9b16d2fb52882,2025-03-13 19:45:00,2025-03-13 20:00:00,995,4.0,17031838100.0,17031832600.0,$15,$3,$1.23,$19.23,41.879,-87.672,41.915,-87.654,19,3,19.23
a064bf956a85333c94e9ed97327a1e11f798bd89,2025-03-21 10:30:00,2025-03-21 11:00:00,"1,832",7.4,17031150300.0,17031063200.0,$12.5,$0,$2.94,$15.44,41.961,-87.762,41.938,-87.639,10,4,15.44
76e3a33ead0429c0f971061d3d86e7b5f5813691,2025-02-20 14:45:00,2025-02-20 15:00:00,"1,243",6.1,17031221100.0,17031081201.0,$20,$3,$2.73,$25.73,41.921,-87.71,41.899,-87.626,14,3,25.73
29254a13ebe2755fa1631db2f106858c782f40d5,2025-04-23 09:30:00,2025-04-23 09:30:00,452,1.1,17031081500.0,17031839100.0,$7.5,$0,$4.89,$12.39,41.893,-87.626,41.881,-87.633,9,2,12.39
61ffed191b04078c8063e3e3ceb859b454516dfe,2025-06-07 21:30:00,2025-06-07 21:30:00,600,3.4,17031081401.0,17031063200.0,$15,$5,$6.16,$26.16,41.895,-87.62,41.938,-87.639,21,5,26.16
