day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id
0,23,41.885,-87.621,41.863,-87.673,91,2248421
0,1,41.893,-87.638,41.871,-87.622,413,186513
1,23,41.892,-87.629,41.902,-87.638,35,3734346
1,2,41.77,-87.581,41.77,-87.581,13,2528824
0,13,41.892,-87.665,41.979,-87.903,131,913409
1,4,41.856,-87.66,41.893,-87.638,49,2708592
0,21,41.881,-87.633,41.941,-87.681,12,1936941
0,1,41.972,-87.739,41.994,-87.686,1,239950
0,21,41.783,-87.599,41.734,-87.653,1,1895956
1,21,41.979,-87.903,41.885,-87.621,639,3602641
0,0,41.898,-87.654,41.881,-87.633,305,63078
0,23,41.881,-87.633,41.892,-87.629,2851,2244801
1,21,41.881,-87.633,41.859,-87.617,637,3554320
0,13,41.901,-87.694,41.874,-87.662,17,920278
0,22,41.9,-87.629,41.915,-87.632,137,2108678
2,8,41.928,-87.695,41.934,-87.712,5,4456463
2,5,41.8,-87.618,41.847,-87.664,1,4255892
2,23,41.945,-87.669,41.892,-87.629,10,5086290
1,21,41.929,-87.685,41.892,-87.665,4,3579182
2,23,41.915,-87.632,41.929,-87.651,26,5072980
0,4,41.943,-87.647,41.929,-87.651,31,543560
0,18,41.885,-87.657,41.892,-87.632,1012,1517065
