,day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id
78,2,5,41.871,-87.622,41.892,-87.629,1,78
79,2,5,41.879,-87.657,41.893,-87.638,1,79
80,2,7,41.849,-87.624,41.837,-87.653,1,80
81,2,7,41.885,-87.621,41.893,-87.626,1,81
82,2,7,41.936,-87.671,41.928,-87.7,1,82
83,2,8,41.892,-87.632,41.885,-87.621,1,83
84,2,9,41.973,-87.657,41.885,-87.621,1,84
85,2,15,42.006,-87.668,41.958,-87.676,1,85
86,2,16,41.929,-87.685,41.946,-87.654,1,86
87,2,18,41.871,-87.631,41.856,-87.675,1,87
88,2,18,41.987,-87.665,41.893,-87.626,1,88
89,2,19,41.906,-87.631,41.906,-87.675,1,89
90,2,20,41.885,-87.621,41.786,-87.751,1,90
91,2,20,41.892,-87.632,41.891,-87.619,1,91
92,2,20,41.908,-87.627,41.879,-87.643,1,92
93,2,21,41.893,-87.638,41.886,-87.672,1,93
94,2,21,41.908,-87.627,41.922,-87.641,1,94
95,2,21,41.912,-87.675,41.979,-87.903,1,95
96,2,21,41.943,-87.652,41.98,-87.671,1,96
97,2,22,41.835,-87.611,41.754,-87.632,1,97
98,2,22,41.929,-87.685,41.965,-87.721,1,98
99,2,23,41.879,-87.643,41.907,-87.636,1,99
