day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,13,41.95,-87.644,41.979,-87.903,390,946769,2026,04,22
0,20,41.893,-87.653,41.936,-87.652,25,1796760,2026,04,22
0,5,41.871,-87.622,41.859,-87.617,200,583116,2026,04,22
0,2,41.879,-87.672,41.922,-87.664,23,290065,2026,04,26
1,22,41.942,-87.661,41.962,-87.645,4,3673982,2026,04,25
0,23,41.859,-87.617,41.879,-87.643,832,2231629,2026,04,26
0,2,41.93,-87.724,41.994,-87.665,2,328382,2026,04,25
2,8,41.877,-87.622,41.893,-87.626,14,4442200,2026,04,25
0,21,41.899,-87.689,41.892,-87.629,20,1951729,2026,04,22
0,23,41.985,-87.658,41.881,-87.633,12,2328061,2026,04,26
1,23,41.929,-87.656,41.893,-87.638,29,3757423,2026,04,25
1,17,41.922,-87.634,41.902,-87.638,8,3272569,2026,04,22
2,7,41.929,-87.656,41.892,-87.613,10,4419321,2026,04,25
1,3,41.881,-87.633,41.893,-87.638,485,2633426,2026,04,22
0,3,41.87,-87.675,41.891,-87.619,37,394786,2026,04,22
1,22,41.727,-87.658,41.885,-87.621,4,3612590,2026,04,26
1,4,41.928,-87.7,41.936,-87.671,8,2743515,2026,04,22
1,21,41.898,-87.654,41.885,-87.621,87,3562206,2026,04,26
1,18,41.906,-87.675,41.922,-87.69,8,3334721,2026,04,22
2,15,41.907,-87.69,41.921,-87.71,3,4608976,2026,04,22
2,7,41.929,-87.646,41.885,-87.657,34,4419823,2026,04,25
0,12,41.848,-87.691,41.879,-87.657,5,803800,2026,04,25
2,0,41.936,-87.681,41.907,-87.636,14,3854743,2026,04,22
0,14,41.892,-87.719,41.861,-87.701,14,1031848,2026,04,22
2,16,41.859,-87.617,41.949,-87.657,29,4645170,2026,04,22
0,13,41.863,-87.654,41.83,-87.724,7,900258,2026,04,25
0,0,41.871,-87.622,41.891,-87.619,753,45298,2026,04,22
0,16,41.98,-87.671,41.891,-87.619,12,1326567,2026,04,22
2,20,41.953,-87.646,41.936,-87.671,1,4904931,2026,04,22
0,23,41.935,-87.64,41.915,-87.654,127,2292261,2026,04,26
2,8,41.859,-87.617,41.786,-87.751,52,4440932,2026,04,25
0,13,41.935,-87.781,41.898,-87.654,6,936541,2026,04,22
0,19,41.936,-87.699,41.916,-87.675,1,1686045,2026,04,25
0,7,41.893,-87.638,41.898,-87.621,37,677839,2026,04,26
0,22,41.767,-87.671,41.754,-87.671,13,2043007,2026,04,22
0,23,41.906,-87.734,41.95,-87.752,2,2265975,2026,04,26
0,21,41.845,-87.728,41.848,-87.691,1,1917590,2026,04,22
0,2,41.891,-87.619,41.877,-87.622,414,296046,2026,04,26
0,6,41.798,-87.599,41.798,-87.59,48,635502,2026,04,22
0,23,41.907,-87.641,41.906,-87.675,55,2268823,2026,04,26
2,5,41.892,-87.632,41.951,-87.676,25,4274026,2026,04,26
0,3,41.703,-87.615,41.868,-87.643,27,366246,2026,04,25
