day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,15,41.748,-87.649,41.664,-87.637,12,1104566,2026,04,22
2,1,41.849,-87.624,41.868,-87.643,26,3904001,2026,04,22
0,14,41.859,-87.617,41.868,-87.643,716,1016148,2026,04,22
1,18,41.922,-87.641,41.871,-87.631,4,3342199,2026,04,22
2,4,41.859,-87.617,41.958,-87.692,8,4176404,2026,04,22
2,0,41.936,-87.652,41.916,-87.641,9,3856149,2026,04,22
1,0,41.908,-87.671,41.898,-87.77,5,2386801,2026,04,25
0,13,41.893,-87.638,41.935,-87.64,33,915016,2026,04,22
0,22,41.881,-87.633,41.979,-87.903,6216,2090674,2026,04,22
1,20,41.885,-87.657,41.892,-87.689,17,3474828,2026,04,22
2,20,41.922,-87.651,41.871,-87.622,9,4892275,2026,04,22
0,1,41.798,-87.599,41.765,-87.564,1,153096,2026,04,22
2,23,41.899,-87.626,41.777,-87.693,1,5066218,2026,04,26
0,16,41.891,-87.619,41.922,-87.634,242,1275094,2026,04,22
0,5,41.856,-87.66,41.921,-87.705,10,579404,2026,04,22
0,21,41.898,-87.621,41.885,-87.621,861,1950350,2026,04,22
2,15,41.892,-87.613,41.902,-87.638,7,4604026,2026,04,22
0,0,41.891,-87.619,41.915,-87.646,127,56003,2026,04,22
2,3,41.899,-87.626,41.907,-87.636,133,4105091,2026,04,22
1,6,41.885,-87.657,41.946,-87.654,135,2860191,2026,04,22
0,2,41.98,-87.671,41.949,-87.652,54,356674,2026,04,25
0,17,41.908,-87.627,41.95,-87.644,34,1409946,2026,04,26
0,17,41.871,-87.622,41.786,-87.751,695,1384919,2026,04,22
0,17,41.885,-87.621,41.979,-87.903,7086,1393805,2026,04,26
0,14,41.756,-87.552,41.765,-87.564,6,982481,2026,04,22
1,2,41.79,-87.601,41.798,-87.599,166,2531718,2026,04,22
1,20,41.856,-87.66,41.685,-87.671,1,3466142,2026,04,22
0,15,41.842,-87.622,41.941,-87.671,1,1134939,2026,04,22
0,18,41.9,-87.632,41.895,-87.62,361,1529438,2026,04,26
