group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
211743,1294,1114,6522,1402,7816,2516s,"{'WALK', 'BUS'}"
96249,722,717,6985,1015,7707,2044s,"{'SUBWAY', 'WALK', 'BUS'}"
815910,919,753,8348,2074,9267,3608s,"{'WALK', 'BUS'}"
4007035,962,892,1637,360,2599,1252s,"{'SUBWAY', 'WALK'}"
4768508,1904,1681,30512,3090,32416,5102s,"{'SUBWAY', 'WALK'}"
3411707,849,848,6253,1030,7102,2052s,"{'SUBWAY', 'WALK', 'BUS'}"
2304971,445,383,2296,693,2741,1128s,"{'WALK', 'BUS'}"
611711,881,779,9360,1714,10241,2820s,"{'WALK', 'BUS'}"
1786641,1895,1608,30023,3030,31918,4649s,"{'SUBWAY', 'WALK'}"
3858725,937,794,1895,555,2832,1363s,"{'WALK', 'BUS'}"
4176366,1356,1150,10448,1823,11804,2976s,"{'WALK', 'BUS'}"
917787,1391,1171,5349,1301,6740,2475s,"{'WALK', 'BUS'}"
5057433,466,403,1701,705,2167,1109s,"{'WALK', 'BUS'}"
294995,1499,1292,14609,1923,16108,3712s,"{'SUBWAY', 'WALK', 'BUS'}"
2807707,1237,1102,3718,568,4955,2283s,"{'SUBWAY', 'WALK', 'BUS'}"
286343,,,,,,,
3735698,538,473,4433,1145,4971,2058s,"{'WALK', 'BUS'}"
2531720,1104,919,1135,275,2239,1196s,"{'WALK', 'BUS'}"
3829325,511,423,2507,636,3018,1059s,"{'WALK', 'BUS'}"
2052844,913,776,3145,771,4058,1549s,"{'WALK', 'BUS'}"
2897085,1485,1361,7227,1130,8712,3442s,"{'SUBWAY', 'WALK', 'BUS'}"
3757796,1321,1246,2031,330,3352,1577s,"{'SUBWAY', 'WALK'}"
632193,771,652,3607,575,4378,1227s,"{'WALK', 'BUS'}"
2498748,1210,1071,4219,570,5429,1641s,"{'SUBWAY', 'WALK'}"
799269,1644,1362,11206,1695,12850,3309s,"{'WALK', 'BUS'}"
513254,829,684,4377,793,5206,1482s,"{'WALK', 'BUS'}"
1653594,1053,921,1492,371,2545,1530s,"{'SUBWAY', 'WALK', 'BUS'}"
1940453,1062,981,7383,1232,8445,2544s,"{'SUBWAY', 'WALK', 'BUS'}"
3035830,948,817,2661,300,3609,1117s,"{'HEAVY_RAIL', 'WALK'}"
299069,499,473,1067,401,1566,874s,"{'WALK', 'BUS'}"
4956139,608,503,1936,570,2544,1089s,"{'WALK', 'BUS'}"
1789576,803,712,2188,638,2991,1350s,"{'WALK', 'BUS'}"
462230,1167,972,3028,649,4195,1628s,"{'WALK', 'BUS'}"
1819311,924,794,2440,640,3364,1452s,"{'WALK', 'BUS'}"
2294453,801,723,8370,1897,9171,2884s,"{'WALK', 'BUS'}"
3144950,780,663,6684,1424,7464,2129s,"{'WALK', 'BUS'}"
4264975,1308,1161,3559,570,4867,1733s,"{'SUBWAY', 'WALK'}"
3758737,1024,878,815,213,1839,1091s,"{'WALK', 'BUS'}"
4355936,957,826,12078,1647,13035,2740s,"{'SUBWAY', 'WALK', 'BUS'}"
2796636,1219,1047,8338,1020,9557,2068s,"{'SUBWAY', 'WALK'}"
2781277,981,848,3957,718,4938,1569s,"{'WALK', 'BUS'}"
1379574,1628,1350,1723,479,3351,1831s,"{'WALK', 'BUS'}"
286344,1242,1047,248,44,1490,1092s,"{'WALK', 'BUS'}"
896820,790,671,6379,1435,7169,2135s,"{'WALK', 'BUS'}"
2859964,1500,1263,2086,381,3586,1644s,"{'WALK', 'BUS'}"
214320,448,375,2736,771,3184,1148s,"{'WALK', 'BUS'}"
442262,577,518,3803,717,4380,1573s,"{'SUBWAY', 'WALK', 'BUS'}"
3223166,888,746,7489,1573,8377,2855s,"{'WALK', 'BUS'}"
1482059,1153,1149,20845,2139,21998,4184s,"{'SUBWAY', 'WALK', 'BUS'}"
1775769,597,514,5934,1495,6531,2510s,"{'WALK', 'BUS'}"
3636626,293,280,9618,2537,9911,3066s,"{'WALK', 'BUS'}"
228348,964,846,9236,2053,10200,3219s,"{'WALK', 'BUS'}"
1892843,571,499,9784,2280,10355,3099s,"{'WALK', 'BUS'}"
