group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
1717927,885,750,1620,649,2505,1404s,"{'WALK', 'BUS'}"
939799,512,415,10900,2061,11412,3176s,"{'WALK', 'SUBWAY', 'BUS'}"
2291781,1156,1103,6524,870,7680,1973s,"{'WALK', 'SUBWAY'}"
3594047,517,478,5488,1141,6005,1881s,"{'WALK', 'BUS'}"
435891,1192,1041,7846,1080,9038,2122s,"{'WALK', 'SUBWAY'}"
2910803,733,581,3451,932,4184,1514s,"{'WALK', 'BUS'}"
1786426,910,794,3622,1116,4532,2272s,"{'WALK', 'BUS'}"
4040529,514,468,4169,1030,4683,1833s,"{'WALK', 'BUS'}"
4012369,1014,962,1597,240,2611,1204s,"{'WALK', 'SUBWAY'}"
4266499,832,714,5952,1376,6784,2421s,"{'WALK', 'BUS'}"
20639,816,672,2320,485,3136,1158s,"{'WALK', 'BUS'}"
3193866,370,314,446,130,816,446s,"{'WALK', 'BUS'}"
5034681,2294,1969,26154,2310,28448,4279s,"{'WALK', 'SUBWAY'}"
2314776,1106,924,1821,466,2927,1392s,"{'WALK', 'BUS'}"
3407142,1429,1232,1586,170,3015,1404s,"{'WALK', 'BUS'}"
403515,294,285,7463,1649,7757,2412s,"{'WALK', 'BUS'}"
2576174,832,725,2734,623,3566,1357s,"{'WALK', 'BUS'}"
905028,300,260,5839,1016,6139,1749s,"{'WALK', 'BUS'}"
4216719,765,638,2257,355,3022,1029s,"{'WALK', 'BUS'}"
843168,688,581,7022,956,7710,1537s,"{'WALK', 'BUS'}"
3559942,540,456,5688,1949,6228,2465s,"{'WALK', 'BUS'}"
1542988,904,873,5079,570,5983,1450s,"{'WALK', 'SUBWAY'}"
2083205,567,494,1138,364,1705,859s,"{'WALK', 'BUS'}"
2865548,591,616,13916,2080,14507,2916s,"{'WALK', 'SUBWAY', 'BUS'}"
1026446,683,566,6715,1387,7398,1960s,"{'WALK', 'BUS'}"
2209500,981,832,18888,2920,19869,3966s,"{'WALK', 'BUS'}"
1325669,1520,1333,30395,3000,31915,4622s,"{'WALK', 'SUBWAY'}"
3915561,1112,1068,873,150,1985,1220s,"{'WALK', 'SUBWAY'}"
175903,655,574,1259,248,1914,822s,"{'WALK', 'BUS'}"
2860277,1034,988,15613,2160,16647,3493s,"{'WALK', 'SUBWAY'}"
5019343,506,439,5918,1662,6424,2101s,"{'WALK', 'BUS'}"
3341668,1516,1261,5304,1583,6820,2844s,"{'WALK', 'BUS'}"
1176998,1869,1603,1636,240,3505,1844s,"{'WALK', 'SUBWAY'}"
1027105,404,337,1942,614,2346,951s,"{'WALK', 'BUS'}"
5034847,1696,1424,21292,2312,22988,4253s,"{'WALK', 'SUBWAY', 'BUS'}"
3877305,2765,2334,26195,2310,28960,4644s,"{'WALK', 'SUBWAY'}"
2461862,288,254,1249,424,1537,680s,"{'WALK', 'BUS'}"
5090605,1594,1318,403,82,1997,1401s,"{'WALK', 'BUS'}"
3404918,652,563,4499,1226,5151,1790s,"{'WALK', 'BUS'}"
1385188,1531,1396,9534,1320,11065,2717s,"{'WALK', 'SUBWAY'}"
2235853,1041,872,764,158,1805,1031s,"{'WALK', 'BUS'}"
1222525,823,688,7591,1411,8414,2687s,"{'WALK', 'BUS'}"
1797758,426,359,2555,903,2981,1297s,"{'WALK', 'BUS'}"
1782851,1075,916,973,253,2048,1171s,"{'WALK', 'BUS'}"
1040746,633,545,1963,345,2596,890s,"{'WALK', 'BUS'}"
4997915,,,,,,,
816276,551,474,862,242,1413,743s,"{'WALK', 'BUS'}"
1134247,1130,1016,6879,1698,8009,2709s,"{'WALK', 'BUS'}"
842210,819,699,20013,3863,20832,5061s,"{'WALK', 'BUS'}"
1254803,1815,1600,17899,2280,19714,3880s,"{'WALK', 'SUBWAY'}"
3188937,639,542,5426,1420,6065,1981s,"{'WALK', 'BUS'}"
163855,646,564,8766,1873,9412,2929s,"{'WALK', 'BUS'}"
180455,1141,1018,768,90,1909,1109s,"{'WALK', 'SUBWAY'}"
3016941,602,572,9707,1664,10309,2798s,"{'WALK', 'BUS'}"
4878756,1292,1114,11139,2132,12431,3736s,"{'WALK', 'BUS'}"
60994,1776,1573,3473,420,5249,1995s,"{'WALK', 'SUBWAY'}"
1649767,,,,,,,
473538,1631,1352,18417,3101,20048,4452s,"{'WALK', 'BUS'}"
4638449,966,810,19996,2040,20962,3192s,"{'WALK', 'SUBWAY', 'BUS'}"
2657869,775,757,1241,180,2016,941s,"{'WALK', 'SUBWAY'}"
1139269,527,452,12895,2747,13422,3821s,"{'WALK', 'BUS'}"
310227,1259,1074,4791,1185,6050,2705s,"{'WALK', 'BUS'}"
3934323,382,313,4282,1142,4664,1457s,"{'WALK', 'BUS'}"
1929489,646,553,2145,861,2791,1415s,"{'WALK', 'BUS'}"
2095203,932,904,27616,3433,28548,5130s,"{'WALK', 'SUBWAY', 'BUS'}"
4175008,1417,1386,4505,450,5922,1836s,"{'WALK', 'SUBWAY'}"
2864598,628,572,0,0,628,573s,{'WALK'}
2794343,724,763,7250,1015,7974,2295s,"{'WALK', 'SUBWAY', 'BUS'}"
1057173,917,793,7525,1305,8442,2534s,"{'WALK', 'SUBWAY', 'BUS'}"
1039833,609,528,3655,1063,4264,1592s,"{'WALK', 'BUS'}"
2144419,839,707,389,104,1228,825s,"{'WALK', 'BUS'}"
4371893,1628,1380,1443,380,3071,1763s,"{'WALK', 'BUS'}"
2717467,784,786,2343,360,3127,1148s,"{'WALK', 'SUBWAY'}"
