day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
2,22,41.928,-87.705,41.893,-87.626,14,5016065,2026,4,26,1073.0,968.0,10917.0,1320.0,11990.0,2577s,"{'SUBWAY', 'WALK'}"
0,0,41.893,-87.638,41.892,-87.632,1329,60904,2026,4,22,628.0,572.0,0.0,0.0,628.0,573s,{'WALK'}
0,13,41.893,-87.626,41.885,-87.621,1426,915297,2026,4,22,650.0,588.0,862.0,356.0,1512.0,946s,"{'BUS', 'WALK'}"
1,4,41.885,-87.657,41.936,-87.656,159,2718237,2026,4,22,730.0,849.0,8686.0,1200.0,9416.0,2359s,"{'SUBWAY', 'WALK'}"
0,15,41.892,-87.629,41.728,-87.576,1,1157396,2026,4,22,381.0,359.0,20120.0,2460.0,20501.0,3177s,"{'BUS', 'WALK'}"
2,14,41.899,-87.626,41.979,-87.903,524,4566871,2026,4,22,1904.0,1681.0,31019.0,3210.0,32923.0,5122s,"{'SUBWAY', 'WALK'}"
0,23,41.885,-87.657,41.893,-87.626,2535,2247270,2026,4,26,1120.0,935.0,2819.0,630.0,3939.0,1570s,"{'BUS', 'WALK'}"
0,5,41.786,-87.751,41.871,-87.622,321,572953,2026,4,22,1748.0,1526.0,19063.0,1985.0,20811.0,4485s,"{'SUBWAY', 'BUS', 'WALK'}"
0,23,41.979,-87.903,41.963,-87.684,43,2324800,2026,4,26,1659.0,1381.0,19573.0,2096.0,21232.0,3802s,"{'SUBWAY', 'BUS', 'WALK'}"
0,21,41.868,-87.643,41.893,-87.638,212,1926868,2026,4,22,1005.0,882.0,2582.0,884.0,3587.0,1768s,"{'BUS', 'WALK'}"
2,9,41.931,-87.642,41.943,-87.641,10,4481789,2026,4,25,1630.0,1365.0,0.0,0.0,1630.0,1365s,{'WALK'}
2,4,41.92,-87.751,41.95,-87.644,1,4206795,2026,4,22,1558.0,1377.0,10918.0,1911.0,12476.0,3599s,"{'SUBWAY', 'BUS', 'WALK'}"
0,23,41.885,-87.657,41.881,-87.633,3326,2247238,2026,4,26,803.0,712.0,2188.0,535.0,2991.0,1247s,"{'BUS', 'WALK'}"
0,4,41.892,-87.632,41.871,-87.622,1038,509175,2026,4,22,835.0,715.0,2576.0,671.0,3411.0,1776s,"{'BUS', 'WALK'}"
0,8,41.936,-87.656,41.946,-87.654,1,704236,2026,4,26,1249.0,1064.0,0.0,0.0,1249.0,1063s,{'WALK'}
1,23,41.892,-87.629,41.859,-87.617,218,3734274,2026,4,25,983.0,875.0,3759.0,721.0,4742.0,1826s,"{'SUBWAY', 'BUS', 'WALK'}"
0,16,41.979,-87.903,41.965,-87.743,5,1325898,2026,4,22,1962.0,1628.0,14662.0,1110.0,16624.0,2739s,"{'SUBWAY', 'WALK'}"
0,16,41.879,-87.657,41.891,-87.619,202,1269614,2026,4,22,559.0,503.0,4496.0,1201.0,5055.0,2289s,"{'BUS', 'WALK'}"
1,20,41.9,-87.632,41.886,-87.699,1,3483807,2026,4,22,318.0,268.0,8460.0,2702.0,8778.0,3237s,"{'BUS', 'WALK'}"
2,2,41.979,-87.903,41.885,-87.657,152,4059623,2026,4,22,2765.0,2334.0,26195.0,2310.0,28960.0,4644s,"{'SUBWAY', 'WALK'}"
0,2,41.892,-87.632,41.871,-87.631,874,298476,2026,4,26,509.0,412.0,1992.0,841.0,2501.0,1331s,"{'BUS', 'WALK'}"
0,22,41.953,-87.653,41.929,-87.651,34,2152849,2026,4,22,871.0,748.0,2437.0,721.0,3308.0,1473s,"{'BUS', 'WALK'}"
0,5,41.868,-87.643,41.895,-87.62,26,581590,2026,4,22,526.0,458.0,4885.0,1096.0,5411.0,2101s,"{'BUS', 'WALK'}"
0,13,41.963,-87.713,41.92,-87.761,32,951425,2026,4,22,511.0,468.0,8377.0,1972.0,8888.0,2786s,"{'BUS', 'WALK'}"
0,13,41.979,-87.903,41.892,-87.629,497,957833,2026,4,22,1565.0,1290.0,29004.0,2937.0,30569.0,4450s,"{'SUBWAY', 'BUS', 'WALK'}"
1,17,41.983,-87.658,41.922,-87.634,1,3294120,2026,4,22,405.0,456.0,8035.0,1625.0,8440.0,2341s,"{'SUBWAY', 'BUS', 'WALK'}"
2,6,41.907,-87.636,41.891,-87.619,169,4355561,2026,4,26,632.0,582.0,2534.0,578.0,3166.0,1449s,"{'BUS', 'WALK'}"
0,21,41.87,-87.675,41.868,-87.643,362,1928190,2026,4,22,519.0,430.0,2906.0,982.0,3425.0,1424s,"{'BUS', 'WALK'}"
0,2,41.899,-87.626,41.859,-87.617,418,305130,2026,4,26,899.0,715.0,4991.0,1691.0,5890.0,2407s,"{'BUS', 'WALK'}"
0,13,41.877,-87.622,41.893,-87.626,115,906205,2026,4,25,466.0,403.0,1701.0,554.0,2167.0,958s,"{'BUS', 'WALK'}"
2,5,41.906,-87.675,41.941,-87.676,13,4282988,2026,4,26,1542.0,1304.0,3686.0,766.0,5228.0,2071s,"{'BUS', 'WALK'}"
0,17,41.892,-87.665,41.906,-87.675,22,1396580,2026,4,26,1074.0,918.0,1771.0,399.0,2845.0,1331s,"{'BUS', 'WALK'}"
2,22,41.77,-87.581,41.859,-87.617,3,4983954,2026,4,26,1790.0,1489.0,14241.0,1317.0,16031.0,3165s,"{'BUS', 'WALK'}"
1,3,41.892,-87.613,41.868,-87.643,26,2639684,2026,4,22,1482.0,1256.0,3812.0,992.0,5294.0,2249s,"{'BUS', 'WALK'}"
0,3,41.885,-87.621,41.899,-87.626,658,403996,2026,4,22,648.0,520.0,1476.0,501.0,2124.0,1021s,"{'BUS', 'WALK'}"
1,0,41.95,-87.644,41.935,-87.64,15,2412929,2026,4,25,213.0,181.0,1765.0,448.0,1978.0,650s,"{'BUS', 'WALK'}"
2,11,41.891,-87.619,41.859,-87.617,70,4504735,2026,4,25,1478.0,1244.0,3749.0,805.0,5227.0,2098s,"{'BUS', 'WALK'}"
1,7,41.905,-87.65,41.885,-87.621,86,2917912,2026,4,22,1626.0,1493.0,4144.0,510.0,5770.0,2003s,"{'SUBWAY', 'WALK'}"
0,19,41.755,-87.61,41.964,-87.652,1,1598796,2026,4,25,1175.0,1024.0,27885.0,3234.0,29060.0,4774s,"{'SUBWAY', 'BUS', 'WALK'}"
1,5,41.881,-87.633,41.958,-87.672,11,2794489,2026,4,22,977.0,912.0,13325.0,2040.0,14302.0,2952s,"{'SUBWAY', 'WALK'}"
0,12,41.791,-87.583,41.786,-87.751,101,794958,2026,4,25,573.0,458.0,17280.0,3151.0,17853.0,4361s,"{'BUS', 'WALK'}"
1,7,41.943,-87.718,41.881,-87.633,6,2931563,2026,4,22,1115.0,1033.0,11262.0,1260.0,12377.0,2293s,"{'SUBWAY', 'WALK'}"
2,0,41.864,-87.693,41.844,-87.683,2,3815869,2026,4,22,583.0,520.0,2870.0,510.0,3453.0,1314s,"{'BUS', 'WALK'}"
1,1,41.899,-87.626,41.881,-87.633,248,2472117,2026,4,25,674.0,594.0,2544.0,698.0,3218.0,1293s,"{'BUS', 'WALK'}"
