day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,13,41.892,-87.632,41.979,-87.903,2621,913743,2026,04,25
0,19,41.893,-87.638,41.929,-87.656,22,1655710,2026,04,25
0,9,41.9,-87.632,41.881,-87.633,32,714529,2026,04,26
0,14,41.964,-87.652,41.898,-87.621,32,1076488,2026,04,22
0,0,41.885,-87.643,41.892,-87.629,791,53799,2026,04,22
0,23,41.871,-87.622,41.892,-87.629,660,2238385,2026,04,26
0,3,41.892,-87.632,41.892,-87.665,157,407550,2026,04,22
2,7,41.881,-87.633,41.881,-87.633,79,4399769,2026,04,25
0,0,41.79,-87.601,41.791,-87.583,2300,20614,2026,04,22
0,11,41.958,-87.653,41.965,-87.677,36,771104,2026,04,25
1,2,41.898,-87.654,41.885,-87.643,95,2557708,2026,04,22
0,20,41.916,-87.684,41.915,-87.654,12,1815017,2026,04,22
2,10,41.936,-87.656,41.979,-87.903,35,4496889,2026,04,25
1,23,41.912,-87.704,41.885,-87.657,3,3746135,2026,04,25
2,15,41.899,-87.626,41.979,-87.903,500,4606502,2026,04,22
1,18,41.892,-87.702,41.893,-87.638,6,3326926,2026,04,22
0,14,41.696,-87.616,41.715,-87.595,31,969451,2026,04,22
1,0,41.929,-87.661,41.879,-87.672,28,2398733,2026,04,25
1,3,41.859,-87.617,41.893,-87.638,216,2626144,2026,04,22
0,0,41.885,-87.643,41.907,-87.636,529,53843,2026,04,22
2,18,41.979,-87.903,41.877,-87.622,240,4791507,2026,04,22
0,2,41.972,-87.739,41.987,-87.694,9,352864,2026,04,25
0,3,41.879,-87.657,41.893,-87.638,268,399714,2026,04,22
2,7,41.927,-87.643,41.973,-87.657,1,4417482,2026,04,25
1,14,41.871,-87.622,41.849,-87.624,347,3073973,2026,04,25
1,19,41.871,-87.622,41.856,-87.649,6,3393162,2026,04,22
0,23,41.996,-87.656,41.973,-87.664,8,2333183,2026,04,25
0,16,41.879,-87.643,41.891,-87.619,992,1270110,2026,04,22
0,1,41.879,-87.657,41.892,-87.632,457,175934,2026,04,22
1,22,41.922,-87.664,41.92,-87.68,6,3661954,2026,04,25
0,23,41.921,-87.695,41.885,-87.621,60,2279668,2026,04,26
1,15,42.005,-87.663,41.868,-87.643,2,3163960,2026,04,22
0,2,41.871,-87.631,41.885,-87.621,482,286372,2026,04,26
0,1,41.893,-87.653,41.898,-87.621,151,186071,2026,04,22
0,4,41.951,-87.667,41.938,-87.639,36,548885,2026,04,22
0,17,41.786,-87.751,41.979,-87.903,187,1359867,2026,04,22
1,22,41.893,-87.638,41.885,-87.643,203,3645756,2026,04,25
0,23,41.957,-87.772,41.961,-87.752,6,2310341,2026,04,26
0,14,41.885,-87.657,41.881,-87.633,7182,1029241,2026,04,22
2,3,41.898,-87.654,41.891,-87.619,127,4103213,2026,04,22
1,6,41.885,-87.657,41.922,-87.634,176,2860112,2026,04,22
0,23,41.979,-87.903,41.983,-87.877,1204,2324852,2026,04,26
0,12,41.885,-87.621,41.892,-87.632,197,814334,2026,04,25
1,2,41.851,-87.635,41.885,-87.621,252,2539954,2026,04,22
2,22,41.879,-87.657,41.892,-87.632,107,4997202,2026,04,26
1,17,41.919,-87.671,41.973,-87.664,2,3270068,2026,04,22
2,3,41.885,-87.657,41.892,-87.632,1508,4095537,2026,04,22
1,18,41.929,-87.651,41.949,-87.657,24,3345232,2026,04,22
2,4,41.906,-87.675,41.922,-87.664,21,4198987,2026,04,22
0,12,41.871,-87.631,41.881,-87.633,1022,808789,2026,04,25
0,22,42.002,-87.674,42.016,-87.7,8,2177696,2026,04,22
2,16,41.907,-87.636,41.892,-87.613,19,4658783,2026,04,22
2,0,41.899,-87.626,41.892,-87.632,545,3831664,2026,04,22
2,6,41.929,-87.636,41.921,-87.7,7,4367311,2026,04,26
2,22,41.871,-87.622,41.892,-87.632,216,4995399,2026,04,26
0,18,41.893,-87.638,41.885,-87.643,577,1523522,2026,04,26
0,23,41.987,-87.665,41.965,-87.663,26,2329675,2026,04,26
0,18,41.898,-87.654,41.885,-87.643,100,1525615,2026,04,26
1,3,41.893,-87.638,41.922,-87.646,134,2640771,2026,04,22
2,4,41.885,-87.643,41.9,-87.629,128,4185494,2026,04,22
