Pickup Neighborhood,Dropoff Neighborhood,totalTransitTime_wavg,rideshareTime_wavg,tripCost_wavg,transitPenalty_wavg,distance_wavg,Count,transitPenaltyColor
Andersonville,West Ridge,30.681182795698927,9.58333333333333,13.79161290322581,3.303435784823373,2.0935483870967744,31.0,red
Andersonville,West Town,47.75729166666667,22.04010416666667,22.09,2.1810208371648483,5.859375,32.0,yellow
Andersonville,Wicker Park,49.5037037037037,24.551851851851854,19.886666666666667,2.0741352393212162,6.2444444444444445,9.0,yellow
Andersonville,Wrigleyville,19.571428571428573,12.364285714285712,14.877714285714287,1.6111046232021273,2.602857142857143,35.0,green
Archer Heights,Archer Heights,8.9,5.083333333333333,11.15,1.7508196721311478,1.1,1.0,green
Archer Heights,Ashburn,50.2,17.766666666666666,16.465,2.8299089011732854,5.1,2.0,red
Archer Heights,Auburn Gresham,74.83333333333333,32.1,23.54,2.3312564901349946,8.4,1.0,yellow
Archer Heights,Brighton Park,15.76666666666667,8.41025641025641,13.047692307692309,2.0230918965584808,1.7000000000000002,13.0,yellow
Archer Heights,Englewood,51.083333333333336,21.691666666666666,18.630000000000003,2.3570375556894865,5.85,2.0,orange
Archer Heights,Garfield Ridge,21.935714285714287,7.773809523809524,11.274285714285714,3.025589225835312,1.5714285714285714,7.0,red
Archer Heights,Grand Crossing,77.21666666666667,27.533333333333335,23.73,2.8044794188861983,8.6,1.0,red
Archer Heights,Humboldt Park,64.74047619047619,33.73571428571429,23.702857142857145,1.9303331917322784,7.699999999999998,7.0,green
Archer Heights,Kenwood,63.333333333333336,15.983333333333333,17.42,3.9624608967674666,10.6,1.0,red
Archer Heights,Lake View,73.94166666666666,39.1,26.265,2.0359968073438894,14.899999999999999,2.0,yellow
Archer Heights,"Little Italy, UIC",54.85,27.99,24.514000000000003,1.959799492051659,7.659999999999999,5.0,green
Archer Heights,Little Village,19.416666666666668,15.120833333333334,12.280000000000001,1.3695130724597298,3.5,4.0,green
Archer Heights,Loop,56.75,21.097333333333335,23.3976,2.702807093389826,10.84,50.0,orange
Archer Heights,Lower West Side,48.15,18.35,21.23,2.623978201634877,7.6,1.0,orange
Archer Heights,Near South Side,52.38333333333333,18.0,21.23,2.9242876526458614,7.699999999999999,2.0,red
Archer Heights,O'Hare,121.55833333333334,64.58888888888889,82.40833333333335,1.912876032442825,26.149999999999995,6.0,green
Archer Heights,River North,70.675,29.2,26.665,2.4214741144947096,9.95,2.0,orange
Archer Heights,Roseland,90.76666666666667,28.75,34.55,3.157118425169436,18.799999999999997,2.0,red
Archer Heights,West Lawn,39.56666666666666,16.106666666666666,13.315999999999999,2.6422646317894203,3.38,5.0,orange
Archer Heights,West Loop,54.61666666666667,34.5,33.23,1.8817362007865277,8.766666666666667,3.0,green
Armour Square,Andersonville,64.66666666666667,23.266666666666666,25.23,2.7793696275071635,12.1,1.0,red
Armour Square,Boystown,44.95000000000001,26.596153846153847,30.016923076923074,1.7239694213774956,10.123076923076923,13.0,green
Armour Square,Douglas,23.016666666666666,8.333333333333334,13.8,2.7619999999999996,3.5,1.0,orange
Armour Square,Fuller Park,18.766666666666666,19.233333333333334,17.634999999999998,0.9757365684575389,6.1499999999999995,2.0,green
Armour Square,Garfield Park,48.7,15.7,17.945,3.1110297333862293,7.300000000000001,2.0,red
Armour Square,Gold Coast,28.65,34.2,41.19,0.837719298245614,6.25,2.0,green
Armour Square,Grant Park,23.25,15.447883597883596,30.536825396825396,1.5400885293774915,5.0587301587301585,63.0,green
Armour Square,Hyde Park,41.21666666666667,13.902777777777779,12.733333333333334,2.9775368361146715,4.916666666666667,6.0,red
Armour Square,Lake View,37.61666666666667,28.295833333333334,34.0775,1.3304167462174643,10.350000000000001,4.0,green
Armour Square,"Little Italy, UIC",47.1,11.433333333333334,24.21,4.1195335276967935,3.5,1.0,red
Armour Square,Logan Square,56.80833333333334,20.058333333333334,21.7,2.815716301200469,9.95,2.0,red
Armour Square,Loop,23.366666666666667,15.441051912568307,28.430081967213113,1.5689649506174312,5.057786885245902,244.0,green
Armour Square,Lower West Side,40.01111111111111,15.588888888888889,22.866666666666664,4.249950668855852,3.566666666666667,3.0,red
Armour Square,Near South Side,22.994444444444444,12.216666666666667,21.396666666666665,2.083526264341205,2.1,3.0,yellow
Armour Square,New City,23.05,11.140196078431373,14.081764705882351,2.1634885821416163,2.3529411764705883,17.0,yellow
Armour Square,River North,26.032926829268295,19.23099593495935,32.102865853658535,1.4156068927122196,6.251219512195123,164.0,green
Armour Square,Roseland,48.43333333333333,14.633333333333333,16.23,3.309794988610478,9.4,1.0,red
Armour Square,Streeterville,33.15,25.5212962962963,30.01555555555556,1.3356644910002724,6.4222222222222225,18.0,green
Armour Square,United Center,46.71666666666667,17.783333333333335,29.19,2.626991565135895,6.1,1.0,orange
Armour Square,Washington Park,29.683333333333334,9.8,15.86,3.02891156462585,3.3,1.0,red
Armour Square,West Loop,44.20000000000001,16.566666666666666,18.563333333333333,2.7321260279035395,4.133333333333333,3.0,orange
Armour Square,West Town,51.86666666666667,18.133333333333333,13.73,2.860294117647059,5.4,1.0,red
Armour Square,Wicker Park,51.483333333333334,25.35666666666667,34.56,2.0800284406554574,7.590000000000001,10.0,yellow
Ashburn,Ashburn,17.95469483568075,5.822535211267606,9.772535211267606,3.4516342328990404,1.0676056338028168,71.0,red
Ashburn,Auburn Gresham,29.64627659574468,10.14468085106383,13.170638297872342,3.0574950647483927,2.5414893617021277,94.0,red
Ashburn,Avalon Park,57.81666666666667,18.76111111111111,15.176666666666668,3.09326404167615,5.566666666666667,3.0,red
Ashburn,Beverly,27.400000000000002,11.393749999999999,13.448750000000002,2.4522022101259586,2.75,8.0,orange
Ashburn,Brighton Park,60.25,21.566666666666666,26.06,2.7936630602782073,6.4,1.0,red
Ashburn,Calumet Heights,72.15,28.108333333333334,28.73,2.5752859818622422,9.55,2.0,orange
Ashburn,Chatham,43.91666666666666,14.837179487179487,13.405,2.978063756992788,3.95,26.0,red
Ashburn,Chicago Lawn,35.82857142857143,11.203571428571427,12.997857142857145,3.5187024377236087,2.857142857142857,14.0,red
Ashburn,Englewood,56.10000000000001,17.677011494252874,17.59,3.2126504700039145,5.041379310344828,29.0,red
Ashburn,Fuller Park,63.81666666666667,28.55,20.486666666666665,2.2352735138323894,9.433333333333332,3.0,yellow
Ashburn,Garfield Park,84.5111111111111,40.411111111111104,28.02,2.149296242250172,10.766666666666666,3.0,yellow
Ashburn,Garfield Ridge,34.39464285714285,12.854761904761904,15.073928571428576,2.758680923452677,3.8,28.0,orange
Ashburn,Grand Boulevard,77.5,29.016666666666666,20.82,2.6708788052843193,10.1,1.0,orange
Ashburn,Grand Crossing,61.44,20.416666666666664,16.740000000000002,3.0349220017452243,5.86,5.0,red
Ashburn,Humboldt Park,99.31666666666666,52.15,27.81,1.9044423138382869,12.7,1.0,green
Ashburn,Hyde Park,74.48333333333333,32.800000000000004,32.565,2.319826715776524,10.649999999999999,2.0,yellow
Ashburn,Kenwood,79.53333333333333,31.991666666666667,28.729999999999997,2.4907249820562454,10.3,2.0,orange
Ashburn,Lake View,98.65,57.93333333333334,42.48,1.7089385174169422,19.0,2.0,green
Ashburn,"Little Italy, UIC",70.6492673992674,38.77399267399268,31.894505494505495,1.8379244737257736,9.695604395604395,91.0,green
Ashburn,Little Village,51.30925925925926,35.36851851851852,23.66777777777778,1.4528471792203956,9.42222222222222,9.0,green
